Timestamp,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,comments
2014-08-27 11:29:31,35,Woman,Germany,,Yes,No,No,nan,26-100,No,Yes,Yes,No,No,No,Don't know,Don't know,No,Maybe,Some of them,Some of them,Maybe,Maybe,Don't know,No,Thanks for doing this survey. It helps end the stigma!
2014-08-27 21:28:44,31,Trans woman,United States,TN,Yes,No,Yes,Sometimes,1-5,No,Yes,No,Not sure,Yes,No,Yes,Very easy,Yes,Maybe,Yes,Some of them,No,Yes,Don't know,No,
2014-08-28 07:27:57,36,Male (CIS),United States,MI,No,Yes,Yes,nan,100-500,Yes,No,Don't know,Yes,Don't know,No,Yes,Very easy,Maybe,No,Some of them,Some of them,No,Yes,Yes,No,
2014-08-28 17:27:10,42,cis-female/femme,United States,GA,No,Yes,Yes,nan,1-5,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No,No,Yes,No,
2014-08-29 03:26:23,30,Man,Ireland,,No,Yes,No,nan,More than 1000,No,No,Yes,Yes,No,Don't know,Don't know,Very difficult,No,No,Some of them,No,No,Yes,Don't know,No,
2014-08-29 13:25:36,30,Cis Female,United States,IN,No,Yes,No,Never,6-25,No,Yes,No,No,Yes,No,Don't know,Don't know,Maybe,No,Some of them,Yes,Maybe,No,Yes,Yes,
2014-08-29 23:24:49,43,M,United States,CA,No,No,No,Rarely,100-500,No,Yes,No,Not sure,No,Yes,No,Somewhat easy,Maybe,Yes,Some of them,Yes,No,Yes,No,No,
2014-08-30 09:24:02,37,female,Canada,,No,Yes,Yes,Often,6-25,No,No,Don't know,Not sure,No,No,No,Don't know,No,Maybe,Some of them,Some of them,Maybe,Maybe,Don't know,No,
2014-08-30 19:23:15,28,non-binary,Germany,,Yes,Yes,Yes,Sometimes,26-100,No,Yes,Don't know,No,Don't know,No,Don't know,Somewhat easy,Maybe,No,Some of them,No,No,No,Yes,Yes,I openly discuss my mental health struggles to encourage others to seek treatment.
2014-08-31 05:22:28,35,Male-ish,United States,OR,No,Yes,Yes,Rarely,6-25,No,No,Yes,No,No,No,Yes,Don't know,Maybe,No,Some of them,Some of them,No,No,Yes,No,
2014-08-31 15:21:41,28,Femake,United Kingdom,,No,No,Yes,Sometimes,1-5,Yes,Yes,No,No,Yes,No,Yes,Don't know,Maybe,No,No,Yes,No,No,Don't know,No,
